Time_Index,coal,ng,hydrogen,biomass,uranium,None,elec_imp_uk,elec_imp_no,elec_imp_de,elec_imp_ge,elec_imp_be
267,10.75,8.5,0,9.5,2.55,0,36.94,79.84,84.34,4.69,82.07
268,10.75,8.5,0,9.5,2.55,0,30.54,79.98,84.24,0.1,82.21
269,10.75,8.5,0,9.5,2.55,0,26.11,81.8,89.24,2.03,83.17
270,10.75,8.5,0,9.5,2.55,0,27.57,86.66,118.16,24.94,88.96
271,10.75,8.5,0,9.5,2.55,0,34.92,111.86,140.74,85.72,118.3
272,10.75,8.5,0,9.5,2.55,0,31.67,136.38,134.96,111.55,140.74
273,10.75,8.5,0,9.5,2.55,0,39.78,130.78,122.01,106.83,134.96
274,10.75,8.5,0,9.5,2.55,0,48.07,118.22,114.73,97.83,122.01
275,10.75,8.5,0,9.5,2.55,0,50.86,111.41,106.98,84.74,114.73
276,10.75,8.5,0,9.5,2.55,0,51.49,103.67,103.08,87.38,106.98
277,10.75,8.5,0,9.5,2.55,0,50.6,99.88,104.54,75.88,103.08
278,10.75,8.5,0,9.5,2.55,0,48.05,101.3,110,81.84,104.54
279,10.75,8.5,0,9.5,2.55,0,44.41,106.81,120,88.2,110
280,10.75,8.5,0,9.5,2.55,0,39.26,116.52,127.5,95.18,120
281,10.75,8.5,0,9.5,2.55,0,56.93,123.8,126,99.08,127.5
282,10.75,8.5,0,9.5,2.55,0,82.23,122.35,119.47,112.01,126
283,10.75,8.5,0,9.5,2.55,0,65.03,116.01,107.13,119.49,119.47
284,10.75,8.5,0,9.5,2.55,0,51.87,104.03,91.7,100.79,111.01
285,10.75,8.5,0,9.5,2.55,0,50.1,88.77,85.02,99.35,104.73
286,10.75,8.5,0,9.5,2.55,0,51.87,82.83,82.49,84.77,101.03
287,10.75,8.5,0,9.5,2.55,0,41.74,80.1,73.07,70.43,93.02
288,10.75,8.5,0,9.5,2.55,0,33.24,76.65,74.85,39.57,90
289,10.75,8.5,0,9.5,2.55,0,29.67,74.85,73.65,32.64,87.49
290,10.75,8.5,0,9.5,2.55,0,28.2,74.42,71.37,16.99,82
291,10.75,8.5,0,9.5,2.55,0,27.52,73.5,72.24,9,78.47
292,10.75,8.5,0,9.5,2.55,0,26.37,72.24,68.73,2.02,75
293,10.75,8.5,0,9.5,2.55,0,29.1,70.85,65.18,2.61,74.96
294,10.75,8.5,0,9.5,2.55,0,39.71,69.22,68.51,25.26,78.2
